Instrument,SEC_CODE
LP68085705,KT-AGRIANDFOOD
LP68103467,I-DEVELOP
LP68103476,LHPF
LP68103483,K-INDIA-A(D)
LP68103542,SCBSE
LP68103543,SCBBANKING
LP68103545,SCBENERGY
LP68120707,I-ASEAN STAR 10
LP68120753,KKP SG-AA
LP68120767,SCBGOLDH
LP68120768,SCBGOLD
LP68128490,ONEPROP-SG
LP68128499,KKP ACT EQ-D
LP68128500,I-GOLD7S2
LP68128501,KT-PROPERTY-D
LP68128508,KT-ST
LP68128554,SCBSET50
LP68128567,KT-BOND
LP68128587,KKP PROP
LP68128610,LHMM-A
LP68128652,SCBGLOW
LP68128653,I-GOLD7S3
LP68140452,KKP GOLD
LP68140474,KWI ASIAN SM
LP68140504,PRINCIPAL iPROP-R
LP68140505,PRINCIPAL iPROP-D
LP68140530,PRINCIPAL DEF
LP68140537,LPF
LP68140557,UOBSG - H
LP68140597,ES-LOWBETA
LP68140598,TCMFENJOY
LP68140614,BSIRICG
LP68140620,ES-AASF
LP68140621,ES-AAMF
LP68140622,ES-AALF
LP68149616,PRINCIPAL iDAILY-R
LP68149618,MIX-D1585
LP68149673,TBOND1Y
LP68149695,KFUS-A
LP68149734,PRINCIPAL iDIV-R
LP68149799,KKP DIVIDEND
LP68149809,ABINC
LP68150389,PRINCIPAL iDAILY-D
LP68150390,PRINCIPAL iDAILY-A
LP68154238,PRINCIPAL iDIV-A
LP68154239,PRINCIPAL iDIV-D
LP68160576,PRINCIPAL iPROP-A
LP68160605,KF-HGOLD
LP68160619,ES-SET50DV2
LP68160621,TISCOHD-A
LP68160624,PRINCIPAL FI
LP68160644,QHHRREIT
LP68160657,SCBGLOB
LP68160660,SCBGSIF
LP68160678,B-TREASURY
LP68160728,SCBTMFPLUS-I
LP68160731,K-USA-A(D)
LP68160732,VFOCUS-D
LP68160733,PRINCIPAL APDI-A
LP68160756,CPNCG
LP68160768,SCBGLOWP
LP68166645,SCBSMART2
LP68166646,SCBSMART3
LP68166647,SCBSMART4
LP68166659,LHDEBT-A
LP68166660,LHEQD-A
LP68166661,LHDEBT-D
LP68166662,LHDEBT-R
LP68166663,LHEQD-D
LP68166664,LHEQD-R
LP68166677,SCBOIL
LP68166682,SCBCOMP
LP68166727,KF-EM
LP68166740,KFMX2TM
LP68166741,KFMXPLS2TM
LP68166791,PRINCIPAL iGOLD-R
LP68166799,PRINCIPAL iGOLD-A
LP68167277,SCBTMFPLUS-A
LP68167278,SCBTMFPLUS-B
LP68180630,PRINCIPAL iFIXED-R
LP68180631,PRINCIPAL iFIXED-A
LP68186683,SCBEMEQ
LP68186684,SCBS&P500
LP68187791,M-II
LP68192904,ES-US500
LP68193856,SCBGEQ
LP68199556,SPOT33S7
LP68200717,ES-DMIXED
LP68202244,SPOT33S8
LP68202609,ONEPROP-RD
LP68202611,SCBEMBOND
LP68202616,LHFL
LP68204319,KTILF
LP68204917,SCBCEH
LP68204927,SPOT33S10
LP68204930,K-USXNDQ-A(D)
LP68205545,SPOT33S11
LP68206318,KPNPF
LP68206321,BTSGIF
LP68206331,ES-IPLUS
LP68206335,KT-WCORP
LP68210217,SCBNK225
LP68210668,ES-PRIVILEGE
LP68211413,SPOT33S14
LP68211414,TUSREIT
LP68212169,KF-EUROPE
LP68212170,SPOT33S15
LP68212341,K-SF-A
LP68212793,LHGROWTH-A
LP68213901,LHGROWTH-R
LP68213902,LHGROWTH-D
LP68215489,ONE-PREMIER
LP68215862,TISCOMS-A
LP68217117,KTPLUS
LP68219780,ASP-AIF1
LP68219782,PEQ
LP68221239,TISCOJP
LP68221848,B-SENIOR
LP68225856,LHTPROP
LP68225857,ABJO
LP68225859,K-EUROPE-A(D)
LP68225873,KKP PROP-D
LP68226634,PRINCIPAL iBALANCED-R
LP68228320,KT-FLEX
LP68231765,SCBNK225D
LP68231769,MPDIVMF
LP68233792,I-SMART
LP68233794,KT-HiDiv-D
LP68235907,K-ASIA
LP68236535,SCB2576
LP68236536,SCB2586
LP68238582,CPTGF
LP68238716,SCBSFFPLUS-A
LP68238717,SCBSFFPLUS-B
LP68238719,SCBSFFPLUS-I
LP68241143,DIF
LP68242024,HPF
LP68242033,KT-OPP-A
LP68242676,KTFIX-1Y3Y
LP68242951,KT-OPP-D
LP68245890,TISCOEU-A
LP68247341,PRINCIPAL JEQ-A
LP68248330,TISCONA
LP68249092,SCBEUEQ
LP68249491,KT-EUROSM
LP68250386,UOBSJSM
LP68254233,JSM
LP68254654,SIRIP
LP68255846,K-GB-A(D)
LP68256424,PRINCIPAL KEQ
LP68260094,ASP-THEQ
LP68260095,PRINCIPAL GEF-A
LP68260101,UOBSHY
LP68260102,USHY
LP68260106,PRINCIPAL GSCEQ-R
LP68261234,ES-EG
LP68262059,M-PAT
LP68264043,PRINCIPAL KOS
LP68265270,PRINCIPAL iFIXED-C
LP68265312,ES-PIPF
LP68267630,WHART
LP68267786,TISCOLTF-B
LP68267981,ASP-CHINA
LP68269443,PRINCIPAL iPROP-C
LP68269920,PRINCIPAL iDAILY-C
LP68269921,PRINCIPAL iDIV-C
LP68271210,KFHEALTH-D
LP68271213,PRINCIPAL APEQ
LP68272635,KWI HCARE-A
LP68273004,KWI HCARE-D
LP68273819,TISCOGY
LP68275528,SCBKEQTG
LP68276811,K-GPROP-A(D)
LP68276812,UGH
LP68276815,UOBSHC
LP68277200,TSTARP
LP68277425,IMPACT
LP68278405,KF-SMCAPD
LP68278417,KT-IGF-R
LP68279712,BKIND
LP68280382,K-MIDSMALL
LP68280385,KT-WEQ-A
LP68280394,ES-COF
LP68282910,ES-ASIA
LP68282925,ES-SMCAP
LP68283806,KFHEUROP-A
LP68285455,B-NIPPON
LP68286346,ES-GRR
LP68286349,K-GHEALTH
LP68288882,KF-INCOME
LP68291493,K-JP-A(D)
LP68292176,LHSC
LP68292177,FTREIT
LP68293526,3BBIF
LP68295417,SCBMSE
LP68295427,TJREIT
LP68297725,HIDIVPLUSG
LP68297990,ASP-EUROPE QUALITY
LP68297992,KF-HJAPAND
LP68298141,UOBSGA
LP68298372,SCBCHA
LP68299796,TCHSTARP
LP68300123,PRINCIPAL DPLUS-A
LP68300814,KT-US-A
LP68300817,ES-JE
LP68304130,B-ASIA
LP68304133,ES-GQG
LP68305771,SCBINDIA
LP68306399,KT-ASEAN-A
LP68306407,M-MIDSMALL-D
LP68306409,KWI INDIA-D
LP68308195,KWI INDIA-A
LP68312028,KTMSEQ
LP68312525,KF-HCHINAD
LP68312529,TISCOC19
LP68313326,ONE-ACTIVE6/2
LP68313331,TGHSTARP
LP68315050,ES-CHCHALLENGE#1
LP68315161,K-ENERGY
LP68315164,TISCOC20
LP68316744,KFAINCOM-R
LP68316752,TISCOC21
LP68316754,UAI
LP68316755,UOBSAI
LP68317281,USHY-A
LP68317282,UOBSHY-A
LP68317820,K-ICT
LP68318464,M-FLEX
LP68318987,K-GINCOME-A(R)
LP68320241,EGATIF
LP68320245,PRINCIPAL EUEQ-A
LP68322879,ONE-STOXXASEAN
LP68323723,KT-mai
LP68323727,ES-HEALTHCARE
LP68324281,AMATAR
LP68326568,LHMSFL-R
LP68328819,KT-AASIA-A
LP68328824,TOIL6
LP68329058,SCBBLN
LP68331110,ASP-EUPROP
LP68331975,K-INDX
LP68332784,ES-GER
LP68332786,UTSME
LP68333599,SCBGHC
LP68334667,ONE-ULTRA
LP68335765,K-CHX
LP68335773,ES-EUROPEEQ
LP68335775,T-JapanEQ
LP68336551,B-GLOBAL
LP68336552,K-BANKING
LP68338976,SCBGIF
LP68338978,KKP ACT FIXED
LP68338979,PRINCIPAL GSA
LP68339893,ES-FINANCETH
LP68340737,UES
LP68340742,TISESG-D
LP68340746,TLHPF
LP68341870,ABAGS
LP68342631,KFCINCOM-A
LP68342633,LHPROP-I
LP68343523,K-EUSAGE
LP68344622,KT-HEALTHCARE-A
LP68344623,UGD
LP68344626,K-SGM
LP68345041,WHABT
LP68345278,MIT
LP68345548,SCBFST
LP68345550,TSTAR-UH
LP68346275,ES-INCOMEAI
LP68346279,KKP GNP
LP68346282,UGSE
LP68347735,LHHOTEL
